,,Missing,Overall
n,,,1206142
"peep, mean (SD)",,799168,7.9 (5.2)
"spo2, mean (SD)",,877136,96.6 (6.4)
"pao2, mean (SD)",,1132387,110.9 (72.6)
"pf_ratio, mean (SD)",,1206142,nan (nan)
"sf_ratio, mean (SD)",,1050241,212.6 (97.0)
"ards_severity, n (%)",Mild,,67627 (5.6)
"ards_severity, n (%)",Moderate,,58679 (4.9)
"ards_severity, n (%)",Non-ARDS,,26433 (2.2)
"ards_severity, n (%)",None,,1050242 (87.1)
"ards_severity, n (%)",Severe,,3161 (0.3)
"nmb_used, n (%)",0,,1185433 (98.3)
"nmb_used, n (%)",1,,20709 (1.7)
"prone_flag, n (%)",0,,1084365 (89.9)
"prone_flag, n (%)",1,,121777 (10.1)
"new_tracheostomy, n (%)",0,,1135117 (94.1)
"new_tracheostomy, n (%)",1,,71025 (5.9)
"height_cm, mean (SD)",,4007,169.5 (11.3)
"weight_kg, mean (SD)",,1238,90.0 (29.9)
